R^2 score (test): 0.707
R^2 score (train): 0.714
Intercept: 311775.7497171513
Coefficients:
bed: -13288.421092955548
bath: 15849.54929044852
sqft: 182.80085706353566
citi_Long Beach, CA: 113335.40095966845
citi_Los Alamitos, CA: 365131.92969989387
citi_Los Alamos, CA: 41375.73352391572
citi_Los Angeles, CA: 141471.7981507264
citi_Los Osos, CA: 49895.81893001027
citi_Lucerne Valley, CA: -364748.3940748391
citi_Lynwood, CA: -71226.56907553696
citi_Malibu, CA: 294939.42035733385
citi_Menifee, CA: -268462.31991933216
citi_Mentone, CA: -147519.78802058322
citi_Midway City, CA: 206155.583380515
citi_Mira Loma, CA: -204243.5378520373
citi_Mission Hills, CA: 38001.47551606942
citi_Mission Viejo, CA: 104946.991631051
citi_Modjeska Canyon, CA: 268148.4732073827
citi_Mojave, CA: -276194.5242295647
citi_Monrovia, CA: 223086.37397965213
citi_Montclair, CA: -89514.20103019076
citi_Montebello, CA: 37770.40254116821
citi_Montecito, CA: 407800.51465823513
citi_Monterey Park, CA: 152334.96525999415
citi_Montrose, CA: 268428.66688577493
citi_Moorpark, CA: -24678.559812899257
citi_Moreno Valley, CA: -282246.6785760514
citi_Morongo Valley, CA: -367174.706622602
citi_Morro Bay, CA: 135641.98428921157
citi_Mountain Center, CA: 62581.172459671536
citi_Mt Baldy, CA: -153714.35452065387
citi_Murrieta, CA: -213477.85185436433
citi_National City, CA: -89540.53454383704
citi_Needles, CA: 110389.83205586721
citi_New Cuyama, CA: 552508.6932828027
citi_Newberry Springs, CA: -236863.47863241893
citi_Newbury Park, CA: 124157.13994139252
citi_Newhall, CA: 77760.54358850804
citi_Newport Beach, CA: 311381.4618259078
citi_Nipomo, CA: 97432.94798517614
citi_Norco, CA: -21637.218798501013
citi_North Hills, CA: 46949.51538966729
citi_North Hollywood, CA: 140245.0455542534
citi_North Tustin, CA: 182918.19350076804
citi_Northridge, CA: 44458.55848252481
citi_Norwalk, CA: -14730.098049948581
citi_Nuevo, CA: -261857.73013638624
citi_Oak Glen, CA: 11935.160265816172
citi_Oak Hills, CA: -300086.1665633459
citi_Oak Park, CA: 256901.65746840654
citi_Oak View, CA: 76071.77175692335
citi_Ocean Beach, CA: 169312.4259590929
citi_Oceano, CA: -45042.55849869066
citi_Oceanside, CA: -61153.77834191278
citi_Ojai, CA: 249018.43391301302
citi_Ontario, CA: -131712.1771767685
citi_Orange, CA: 124758.15170013845
citi_Oro Grande, CA: -256699.8980960724
citi_Oxnard, CA: 91217.68508162844
citi_Pacific Beach, CA: 576406.3151065751
citi_Pacific Palisades, CA: 395192.08313345705
citi_Pacoima, CA: -32208.75253374441
citi_Palm Desert, CA: -94238.36829208978
citi_Palm Springs, CA: 84598.96002069605
citi_Palmdale, CA: -297547.14200525614
citi_Palomar Mountain, CA: -125029.98955253858
citi_Panorama City, CA: -49638.46628712453
citi_Paradise Hills, CA: -90261.50862946048
citi_Paramount, CA: -12502.49124678902
citi_Parkfield, CA: -2.6193447411060333e-10
citi_Pasadena, CA: 328756.60378139943
citi_Paso Robles, CA: -66373.0682364541
citi_Pauma Valley, CA: -107575.11504004274
citi_Pearblossom, CA: -368230.82612949837
citi_Perris, CA: -259454.85723110475
citi_Phelan, CA: -349042.09084943833
citi_Phillips Ranch, CA: -146933.53383888263
citi_Pico Rivera, CA: -12477.589548039952
citi_Pine Mountain Club, CA: -332479.9717535056
citi_Pine Valley, CA: -146273.6443149388
citi_Pinon Hills, CA: -222092.57627027592
citi_Pioneertown, CA: -69578.20030181343
citi_Piru, CA: -152084.11784290033
citi_Pismo Beach, CA: 267773.7286569776
citi_Placentia, CA: 86427.53456249264
citi_Pomona, CA: -95734.65037871656
